batch index,sentence NUCLE ID,original_text,is perfect,original_language
1,68662,It is because changing the ways generating energy is very costly and the safety is unpredictable.,False,english
1,2233,"Moreover, the policy on science and engineering also affects process of engineering application due to insufficient investment in research and engineering practice.",False,english
1,108112,"Therefore, it would have never met the KLM.",False,english
1,152978,"Realistically, in my view, the usage of surveillance is necessary in some area and has its value in the benefit of whole society and therefore can not be all banned.",False,english
1,41567,"In contrast, the Japan phone companies which offer the elderly-friendly phones also offer a free one hour session on how to use the phone.",False,english
1,144137,"For instance, he said one key step is to link up acute hospitals with community ones where patients can receive treatment at the acute hospital and then recuperate at the community hospital (Channel NewsAsia, 2009).",False,english
1,107871,"To sum up, even though there are concerns about Generation IV VHTR system, such as potential danger of the system, high cost of the system and the side effect of the system, the advantages of Generation IV VHTR system surpass its disadvantages.",False,english
1,49490,"Therefore, allowing more work age immigrants into the country may be one of the social policies that can help to ease the aging process.",False,english
1,29896,"Lowered barriers of entry to the elder employment, allows the elderly to enter the workforce and maintain a spot in the society.",False,english
1,98603,"Besides, the aged may also choose to carry a portable digital magnifier which takes picture behind the device, magnifies it to desired clearness and show it on the screen such as PocketViewer.",False,english
1,100575,"For the case of the VHTR, helium will be the coolant.",False,english
1,100359,"Working at the port or the warehouse would be impossible for elders in the past, where cargo are loaded and uploaded by man.",False,english
1,15150,"For decades, people has been debating whether the use of surveillance technology should be banned, they argued that the used of surveillance technology is invading individual's privacy.",False,english
1,118686,"Also, with support of countries such as Japan, France, and Russia, the cost of research is shared.",False,english
1,31229,"In fact, there should be an increase in such spending as the aging trend is set to increase in future.",False,english
1,85316,Meeting the demand in the organ's market and reducing the cost of medical treatments bringing an infinite possibility to the medical-industry.,False,english
1,73394,"When you go shopping, do you usually see same kind of products which almost have the same functions or even same appearances ?",False,english
1,19673,Singapore is currently a develop country.,False,english
1,1106,"After discovering the creative inventions from either research or serendipity, the more important step is the integration of the inventions.",False,english
1,72851,"Form this example, we can see that we engineers always think from customers' point of view and try our best to fulfill their needs.",False,english
1,52081,"Indeed, current research and development in areas like medicine and technology and the implementation of new social policies have helped to lessen the discomfort that the aging process will cause among the elderly to only a large extent.",False,english
1,72201,"It is not only their high level technology that makes them so successful, but also that they meet the need of the people.",False,english
1,154000,"Though, RFID chips can be implanted in the criminals and terrorist so that the authority can easily track their activity.",False,english
1,92146,"On the other hand, they are the ones who can make the wisest decisions.",False,english
1,120624,A number of oppositions are aroused to stop the funding for the six generation IV reactor concepts because of not only the security risk but the inefficiency and the great cost as well.,False,english
1,22822,"By doing so, the elderly will feel more socially accepted and less cases of elderly dying alone in their house.",False,english
1,103683,"The Chernobyl disaster, especially, exposed millions of people to radioactive chemicals and has been linked to many forms of cancer in Eastern Europe and Russia, as well as destroying animals and plants.",False,english
1,105327,There is close to no nuclear waste after the once through system.,False,english
1,26585,"The changes made to the interest rate of the CPF for savings in the SMRA will provide a social safety net for the elderly, while the increase in elderly- related products and studio apartments further eases the physically restricted aspects of an elderly.",False,english
